model,technique,task,metric,value
CatBoost,sb_anon_template_full,pclass,accuracy,0.76
CatBoost,sb_anon_template_full,pclass,precision,0.71
CatBoost,sb_anon_template_full,pclass,recall,0.56
CatBoost,sb_anon_template_full,pclass,f1-score,0.56
CatBoost,sb,avgpcon,MAE,37.5122
CatBoost,sb,avgpcon,R2 Score,0.1007
CatBoost,sb,duration,MAE,371.271
CatBoost,sb,duration,R2 Score,-0.3245
CatBoost,sb,ec,accuracy,0.84
CatBoost,sb,ec,precision,0.89
CatBoost,sb,ec,recall,0.59
CatBoost,sb,ec,f1-score,0.6
CatBoost,sb,pclass,accuracy,0.74
CatBoost,sb,pclass,precision,0.6
CatBoost,sb,pclass,recall,0.52
CatBoost,sb,pclass,f1-score,0.48
KNN,hpcb-multitask_anon_template1,avgpcon,MAE,29.9442
KNN,hpcb-multitask_anon_template1,avgpcon,R2 Score,
KNN,hpcb-multitask_anon_template1,duration,MAE,279.6859
KNN,hpcb-multitask_anon_template1,duration,R2 Score,
KNN,hpcb-multitask_anon_template1,ec,accuracy,0.88
KNN,hpcb-multitask_anon_template1,ec,precision,0.85
KNN,hpcb-multitask_anon_template1,ec,recall,0.75
KNN,hpcb-multitask_anon_template1,ec,f1-score,0.78
KNN,hpcb-multitask_anon_template1,pclass,accuracy,0.75
KNN,hpcb-multitask_anon_template1,pclass,precision,0.67
KNN,hpcb-multitask_anon_template1,pclass,recall,0.63
KNN,hpcb-multitask_anon_template1,pclass,f1-score,0.64
KNN,int_anon,avgpcon,MAE,29.3223
KNN,int_anon,avgpcon,R2 Score,0.1796
KNN,int_anon,duration,MAE,269.4651
KNN,int_anon,duration,R2 Score,-0.4858
KNN,int_anon,ec,accuracy,0.81
KNN,int_anon,ec,precision,0.69
KNN,int_anon,ec,recall,0.57
KNN,int_anon,ec,f1-score,0.58
KNN,int_anon,pclass,accuracy,0.78
KNN,int_anon,pclass,precision,0.72
KNN,int_anon,pclass,recall,0.74
KNN,int_anon,pclass,f1-score,0.73
KNN,sb_anon,avgpcon,MAE,24.3645
KNN,sb_anon,avgpcon,R2 Score,0.2834
KNN,sb_anon,duration,MAE,312.2561
KNN,sb_anon,duration,R2 Score,-1.2243
KNN,sb_anon,ec,accuracy,0.88
KNN,sb_anon,ec,precision,0.83
KNN,sb_anon,ec,recall,0.78
KNN,sb_anon,ec,f1-score,0.8
KNN,sb_anon,pclass,accuracy,0.68
KNN,sb_anon,pclass,precision,0.56
KNN,sb_anon,pclass,recall,0.55
KNN,sb_anon,pclass,f1-score,0.56
KNN,sb_anon_template1,avgpcon,MAE,27.2743
KNN,sb_anon_template1,avgpcon,R2 Score,0.1523
KNN,sb_anon_template1,duration,MAE,219.7181
KNN,sb_anon_template1,duration,R2 Score,-0.0826
KNN,sb_anon_template1,ec,accuracy,0.84
KNN,sb_anon_template1,ec,precision,0.75
KNN,sb_anon_template1,ec,recall,0.74
KNN,sb_anon_template1,ec,f1-score,0.74
KNN,sb_anon_template1,pclass,accuracy,0.76
KNN,sb_anon_template1,pclass,precision,0.67
KNN,sb_anon_template1,pclass,recall,0.6
KNN,sb_anon_template1,pclass,f1-score,0.61
KNN,sb_anon_template2,avgpcon,MAE,25.9703
KNN,sb_anon_template2,avgpcon,R2 Score,0.1961
KNN,sb_anon_template2,duration,MAE,205.3623
KNN,sb_anon_template2,duration,R2 Score,-0.0142
KNN,sb_anon_template2,ec,accuracy,0.85
KNN,sb_anon_template2,ec,precision,0.76
KNN,sb_anon_template2,ec,recall,0.74
KNN,sb_anon_template2,ec,f1-score,0.75
KNN,sb_anon_template2,pclass,accuracy,0.75
KNN,sb_anon_template2,pclass,precision,0.65
KNN,sb_anon_template2,pclass,recall,0.6
KNN,sb_anon_template2,pclass,f1-score,0.6
KNN,sb_anon_template3,avgpcon,MAE,46.493
KNN,sb_anon_template3,avgpcon,R2 Score,-0.5862
KNN,sb_anon_template3,duration,MAE,275.6632
KNN,sb_anon_template3,duration,R2 Score,-0.5179
KNN,sb_anon_template3,ec,accuracy,0.66
KNN,sb_anon_template3,ec,precision,0.48
KNN,sb_anon_template3,ec,recall,0.48
KNN,sb_anon_template3,ec,f1-score,0.48
